"Slug","Item","Grams","Ratio","WouldBe","SourceUrl"
"slow-cooker-pork-green-chili-bowls","Rice","700","1.54","3.75 cups dry","https://www.cakenknife.com/pork-green-chili/"
"slow-cooker-pork-tinga-bowls","Rice","900","1.98","4.75 cups dry","https://breadboozebacon.com/pork-tinga/"
"slow-cooker-salsa-chicken-bowl","Rice","800","1.76","4.25 cups dry","https://theproteinchef.co/slow-cooker-salsa-chicken-recipe/"
"slow-cooker-salsa-verde-chicken-bowl","Rice","800","1.76","4.25 cups dry","https://realfoodwholelife.com/recipes/slow-cooker-salsa-verde-chicken/"
"slow-cooker-teriyaki-pork-bowls","Rice","850","1.87","4.5 cups dry","https://www.eazypeazymealz.com/slow-cooker-teriyaki-pork-tenderloin/"
"slow-cooker-thai-peanut-chicken-bowls","Rice","800","1.76","4.25 cups dry","https://www.slenderkitchen.com/recipe/slow-cooker-thai-peanut-chicken"
"teriyaki-chicken-bowl","Rice","900","1.98","4.75 cups dry","https://masonfit.com/teriyaki-ground-turkey-stir-fry/"
"tex-mex-beef-rice-skillet-bowls","Rice","587","1.29","3.25 cups dry","https://masonfit.com/tex-mex-ground-beef-and-rice-skillet/"
"turkey-fajita-rice-bowls","Rice","786","1.73","4.25 cups dry","https://lillieeatsandtells.com/macro-friendly-fajita-ground-turkey-skillet/"
"turkey-picadillo-rice-bowls","Rice","700","1.54","3.75 cups dry","https://www.skinnytaste.com/turkey-picadillo/"
"unstuffed-cabbage-roll-bowls","Rice","808","1.78","4.25 cups dry","https://thewholecook.com/unstuffed-cabbage-skillet/"
"teriyaki-chicken-bowl","Shredded Carrots","200","0.44","7 oz","https://masonfit.com/teriyaki-ground-turkey-stir-fry/"
