ticket,verdict,why
FAF111D7D4,ok,"Board holds Brut Antiperspirant & Deodorant Classic 6oz at 0.6650/oz, and the verifier independently observed that item at $3.99/6oz. The verifier excluded it only because MY dispatch prompt said stick/solid, which is my constraint and not the commodity's. An aerosol antiperspirant deodorant is deodorant, and at 0.6650 it beats the cheapest stick (1.0633). Board is right; the exclusion was mine."
229CA0DA09,wrong-product,"NOT-CHEAPEST. Board holds Jack's Original Thin Supreme at 3.3300/each, a price the verifier confirms. All eight Totino's Party Pizza varieties are $1.79 each, so the board is 1.86x the cheapest frozen pizza at the store."
7EF91645E3,wrong-product,"NOT-CHEAPEST. Board holds Dove Nutritive Solutions Intensive Repair at 0.4158/floz. Suave Essentials 22.5floz $1.97 = 0.0876 regular (verified onSale false, three sibling SKUs tie) is 4.7x cheaper. This is the single widest cheapest-miss in the sample."
3A39978065,wrong-product,"IDENTITY. Commodity is Baked Beans; the board's cell holds Hy-Vee Pork & Beans in Tomato Sauce at 0.0556/oz. Pork and beans in tomato sauce is a distinct product from baked beans, and this is the classic commodity-hijack shape: the cheaper adjacent product captures the cell. Real store-brand baked bean floor is 0.0757 (five 28oz Hy-Vee variants all $2.12)."
30E86A5915,wrong-price,"Board holds Old Trapper Hot & Spicy 18oz at 1.1100/oz, and $19.98/18oz = 1.1100 is correct - but the verifier confirmed that item is SHIPPING-ONLY at the Omaha club (pickup not available). The board publishes club prices; this one cannot be paid at the club. Cheapest in-club jerky is 1.0550 promo / 1.1800 regular."
A6EA67F60F,ok,"Board holds Jimmy Dean Sausage Egg & Cheese Croissant 12ct at 1.1650/each, which the verifier independently confirmed as $13.98/12 with NO promo. The verifier's cheaper pick only wins on a temporary instant-savings promo ($12.62 vs $14.87 regular). On the everyday basis the board publishes, the board names the cheapest."
66C7E06E7E,wrong-price,"Board holds Clorox 2 for Colors 112.75floz at 0.1169/floz. Verifier confirmed that price and confirmed the item is SHIPPING-ONLY at Omaha (pickup not available), so it is not an in-club price. Cheapest genuinely in-club stain remover is Shout at 0.1401."
9E46708FB8,ok,"Board holds NOS 16floz 24pk at 0.0911/floz; verifier independently confirmed $34.98/384floz = 0.0911 with pickup available. The two cheaper options both fail on the board's own basis: Alani Nu is cheaper only on instant savings (regular 0.1045) and V8 Energy is pickup out of stock. Board names the cheapest available regular-price item."
0552EF9B43,unverifiable,"Board holds Member's Mark Triple Berry Blend 64oz at 0.1634. The verifier ran seven frozen-fruit search terms and the Omaha online catalog returned exactly ONE frozen fruit product (organic mango, 0.1306); every berry hit was fresh produce. So either the board row is stale or the online catalog does not list an in-club freezer item. Cannot resolve blind, and guessing either way would be inventing a verdict. Dropped from the denominator and flagged."
00F1235EB8,wrong-price,"Board holds Member's Mark Food Service Italian Dressing 128oz at 0.0741/floz. Verifier confirmed $9.48/128 = 0.0741 AND confirmed the item is SHIPPING-ONLY at Omaha. Cheapest in-club Italian dressing is 0.1663, a 2.2x gap, so the published number is unbuyable at the club."
803521DC0C,wrong-product,"IDENTITY. Commodity is Brussels Sprouts per lb. Board holds Green Giant Season Brussel Sprout Intro at 2.2080/lb, a seasoned prepared frozen side rather than plain brussels sprouts. Plain GV frozen is 2.0267/lb and fresh is 3.0200/lb, so the cell is both the wrong product class and not the cheapest plain item."
1B72DE95D6,ok,"Board holds Spray 'n Wash Pre-Treatment Refill 60oz at 0.0862/floz. The verifier's cheaper find (Cloralen at 0.0653) is named a Detergent and the verifier flagged it as possibly not a pre-treat. Excluding the contested item, every confirmed pre-treat the verifier priced is DEARER than the board (GV spray 0.1018, OxiClean refill 0.1014), so there is no evidence the board is wrong."
4830F4E339,ok,"Board Farmland Diced Ham 16oz at 0.3100; verifier found Farmland Cooked Cubed Ham 1lb at $4.96 = 0.3100. Same brand, same size, same price to the cent. The cheaper Sugardale at 0.3050 was verified OUT_OF_STOCK today."
47EF9066FE,ok,"Board GV Non-Scratch Scrub Sponges 8ct at 0.4850/sponge; verifier found GV Heavy Duty Scrub Sponges 8ct at $3.88 = 0.4850. Same line, same count, exact tie, and no cheaper plain sponge exists at this store."
239EA18CC7,ok,"Board holds Marketside Baked Blueberry Muffins 14oz 9ct at 0.5522/each, which the verifier independently confirmed at $4.97/9. The verifier's cheaper find is a ~1oz MINI muffin (12oz across 12 count) versus the board's ~1.5oz bakery muffin, so the two are different size classes and a per-each comparison across them is not a like-for-like defect. Flagged as a per-each basis ambiguity."
