doc	harness	blob	prior_blob	date	action	note
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/run-gates.ps1	fe1043bbc001f5fb33095755d06f092309f0fb95	ce455bcbda391ff253a9414c94b00a409b61ef34	2026-09-23	reread	The event-bus floor change adds only an output name for a static gate's blind=<n> marker after results are scored; the -Grow/Add-TcGateSlots admission path this measures is unchanged, so the admission finding stands
design/EVAL-alert-retention-2026-09-09.md	grocery/capture-watchdog.ps1	75381e78879344647313f5e67bde79b8e7866ebd	c0aff393714ffdeb7db958ccd07b65c6721ba8ba	2026-09-23	reread	the cr lane review adds Get-RunRecordVerdict so the watchdog reads capture-run's four new run-record stages (syncing, synced-handoff in progress; blocked-checkout, handoff-failed final and paged) plus a stage-census self-test case; no line of check 5a4 moved, it still runs ops/member-cohorts.ps1 -AppendHistory then -CheckFresh, so the pre-registration (producer, series ops/member-alert-history.jsonl, the >=1 cut and the 91-per-arm bar) holds as written
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	26fb59d696ad793633d35f313f8405673a3fbc44	fe1043bbc001f5fb33095755d06f092309f0fb95	2026-09-24	reread	Still holds. The 2026-09-24 change only lists one more static detector, ops\audit-and-comma-case.ps1, an AST scan of the tracked .ps1/.psm1 that took 33 s standalone and stayed out of the 15 slowest gates in its first pooled run (494 gates, 438 s wall at width 22). No pool, slot, queue, reuse or per-gate key logic moved, so every arrival, admission and capacity total in this file still reads as measured.
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/run-gates.ps1	26fb59d696ad793633d35f313f8405673a3fbc44	fe1043bbc001f5fb33095755d06f092309f0fb95	2026-09-24	reread	Still holds. The 2026-09-24 change adds only one static detector to the list, ops\audit-and-comma-case.ps1 (33 s standalone, not among the 15 slowest in a 494-gate pooled run). Slot acquisition, the ticket queue and the -Grow/Add-TcGateSlots admission path this document measured are untouched, so who wins a freed slot is unchanged.
design/MEASURE-push-convergence-2026-09-12.md	ops/probe-push-convergence.ps1	922435925838c269a063658bc8f235aa1c52c996	363b6669283bd851d1cb5ec6dd9173c1d946d0bc	2026-09-24	reread	W0.3b of design/PLAN-push-derived-conflicts-2026-09-23.md (the Plan-line landing grammar, 2026-09-24) changed only how -Cost and -Due read an item's landing off a Plan line (new Get-TcPpcPlanLineItems, called from Find-TcPpcItemLanding), two header comments and the self-test; no hunk touches Get-TcReflogLandings, Measure-TcLandingIntervals, Measure-TcPrepushLogs, Write-TcConvergenceReport or the no-switch dispatch, so every number in this document still reads as measured. Checked on 2026-09-24, not taken from the diff alone: the no-switch report run from blob 363b6669 and from blob 92243592 over ONE frozen copy of the push ledger (11 files), 299 retained pre-push logs and a 1,195-line reflog printed identical output at -Days 1 and at -Days 14 (22 lines each, 0 differing, compared ordinally; resolved 3 of 3 sources).
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/audit-conclusion-currency.ps1	372e2a2842ba88ac318dcfcc93dac8b2fb5a20d3	e4e5d60f9d016250ea25ae2e5b348034c151e771	2026-09-24	reread	Re-read 2026-09-24 against the one harness change since the last row: four comment lines declaring the self-test's inputs (# gate-inputs:) for lib\gate-input-key.ps1. No executable line changed, so the audit's live path, its verdicts and every number this document records through it are unchanged.
design/MEASURE-ratchet-plain-run-writes-2026-09-12.md	ops/audit-conclusion-currency.ps1	372e2a2842ba88ac318dcfcc93dac8b2fb5a20d3	e4e5d60f9d016250ea25ae2e5b348034c151e771	2026-09-24	reread	Re-read 2026-09-24 against the one harness change since the last row: four comment lines declaring the self-test's inputs (# gate-inputs:) for lib\gate-input-key.ps1. No executable line changed, so the audit's live path, its verdicts and every number this document records through it are unchanged.
design/MEASURE-push-convergence-2026-09-12.md	ops/probe-push-convergence.ps1	2431c081cd876bf64608606ad48508ea5cfe5f9e	922435925838c269a063658bc8f235aa1c52c996	2026-09-24	reread	W0.3b follow-up of design/PLAN-push-derived-conflicts-2026-09-23.md (2026-09-24) changed only Get-TcPpcPlanLineItems (the id list is cut at the first (, : or word-ending . before splitting, so a colon or full stop on a word after an id ends the list), its header comment and the self-test; Get-TcPpcPlanLineItems is called only from Find-TcPpcItemLanding, reached only from Resolve-TcPpcBarStates in -Cost and -Due, and no hunk touches Get-TcReflogLandings, Measure-TcLandingIntervals, Measure-TcPrepushLogs, Write-TcConvergenceReport or the no-switch dispatch, so every number in this document still reads as measured. Checked on 2026-09-24, not taken from the diff alone: the no-switch report at -Days 14 and -Days 1 run from blob 92243592 and from blob 2431c081, interleaved new/old/new over the live inputs, printed identical output (22 lines each, 0 differing), and -Cost printed 169 lines differing only in its own window timestamps; old vs new over 160 Plan lines in 158 origin/main commits read 0 changed.
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	92909f55ea56fd16070229a4f70ced9474a50514	26fb59d696ad793633d35f313f8405673a3fbc44	2026-09-24	reread	Moved only by one added static gate entry (grocery/audit-derived-size-callers.ps1, about 2 s); nothing in admission, tickets, slots or queue handling changed, so every arrival and admission finding stands as written.
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/run-gates.ps1	92909f55ea56fd16070229a4f70ced9474a50514	26fb59d696ad793633d35f313f8405673a3fbc44	2026-09-24	reread	Admission replication: Moved only by one added static gate entry (grocery/audit-derived-size-callers.ps1, about 2 s); nothing in admission, tickets, slots or queue handling changed, so every arrival and admission finding stands as written.
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	32b06b95d7e858b2533b9f4d3aa35b3f5c47063b	92909f55ea56fd16070229a4f70ced9474a50514	2026-09-25	reread	Still holds. The 2026-09-25 change (W6.6 of the brain-consults plan) only lists one more static detector, ops\audit-always-loaded-bytes.ps1, which reads CLAUDE.md and the six rules files in 367 to 385 ms over three timed runs, process start included. No pool, slot, queue, reuse or per-gate key logic moved, so every arrival, admission and capacity total in this file still reads as measured.
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/run-gates.ps1	32b06b95d7e858b2533b9f4d3aa35b3f5c47063b	92909f55ea56fd16070229a4f70ced9474a50514	2026-09-25	reread	Still holds. The 2026-09-25 change (W6.6 of the brain-consults plan) adds only one static detector to the list, ops\audit-always-loaded-bytes.ps1, 367 to 385 ms a push over three timed runs. Slot acquisition, the ticket queue and the -Grow/Add-TcGateSlots admission path this document measured are untouched, so who wins a freed slot is unchanged.
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	0593fa41e511c2bac23e7df17e0dedddaf5a4344	32b06b95d7e858b2533b9f4d3aa35b3f5c47063b	2026-09-25	reread	Faster pushes E1/G1 step 1 adds only a per-gate timing record appended AFTER the pool returns and Exit-TcGateSlots has released every slot; slot acquisition, the ticket queue and admission order are untouched, so the queue-window and admission numbers still hold.
design/MEASURE-gate-slot-admission-2026-09-11.md	ops/run-gates.ps1	0593fa41e511c2bac23e7df17e0dedddaf5a4344	32b06b95d7e858b2533b9f4d3aa35b3f5c47063b	2026-09-25	reread	Faster pushes E1/G1 step 1 adds only a per-gate timing record appended AFTER the pool returns and Exit-TcGateSlots has released every slot; slot acquisition, the ticket queue and admission order are untouched, so the queue-window and admission numbers still hold.
design/MEASURE-gate-cost-2026-09-09.md	ops/run-gates.ps1	5a1e94f5e5bfcfda0479d3a819379c363cbec3a7	21f315ecb356e3c69749171978828c713820e2ce	2026-09-25	reread	Re-read 2026-09-25 after the rules-trim commit added one static gate entry (audit-rule-format) to run-gates' list: the doc is a dated snapshot at 679a1535 (304 gates, 78 s wall at width 16) and its conclusions about that commit stand; today's gate count and times are higher and are not what it claims.
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	5a1e94f5e5bfcfda0479d3a819379c363cbec3a7	0593fa41e511c2bac23e7df17e0dedddaf5a4344	2026-09-25	reread	Re-read 2026-09-25 after the rules-trim commit added one static gate entry (audit-rule-format) to run-gates' list: that entry changes no slot, ticket or queue behaviour, so the 2026-09-11 window's totals, taken before b1aab0424, stand as measured.
design/MEASURE-sams-cents-unit-price-2026-09-20.md	grocery/build-sams-deals.ps1	df183b757af76e2011c5473eb985c3096fca9e73	06381b161f7751f46dfca972fb9abee721ea43bd	2026-09-25	reread	93f022 (2026-09-25) only widens the pack-name parse to a per-piece word after the measure ('32 oz. Each', '12 fl oz cans'); the cents unit-price reader and its refusal of unreadable shapes are untouched. build-sams-deals -SelfTest exit 0 SELF-TEST PASS with the cents cases; audit-basis-reconcile exit 0, 54 cells, 0 findings.
design/MEASURE-sams-cents-unit-price-2026-09-20.md	grocery/pricing-math-lib.ps1	2e48206e897a4acb4835357d34d8a76c0349119c	9fd32c0e60cbf020e9d3f210011d6f3802f6d4de	2026-09-25	reread	Re-read against the three 2026-09-25 triage commits (9459a1 multibuy pack count, 8d2ad5 COUNT-CONFLICT, dc1b5b count range): every hunk is at line 761 or later (Get-PackCount, Get-UnitPrice, two new multibuy functions); Get-DerivedRoundingPct, Get-CellRoundingPct and Get-RoundingBandTies (lines 710-745) are byte-unchanged. Re-ran the rounding-band table at this blob with qty_basis 'derived lp/up': $0.45/oz 1.11%, 45.2 c/oz 0.11%, 92.8 c/lb 0.05%, identical to the new arm; probe-sams-unit-price-shapes -SelfTest PASS 14 cases.
design/MEASURE-aldi-pack-basis-2026-09-19.md	grocery/build-aldi-regular.ps1	bb9427e590178b1b11d336d79d6cd1ea4442561d	7855258779d973df581da94bc4f8b0a0ace889a8	2026-09-26	reread	G1 (faster pushes) added only a # gate-inputs: declaration comment and one explanatory comment line to this harness; no executable line changed, so every number this document measured through it still holds.
design/MEASURE-known-wrong-pattern-rulings-2026-09-25.md	grocery/probe-known-wrong-patterns.ps1	e7f0b84b11ccd6c7efc59fc8b9dc59c426849f38	c9e1715dbc93e22771808cf2fa04b85257e7541c	2026-09-26	reread	G1 (faster pushes) added only a # gate-inputs: declaration comment and one explanatory comment line to this harness; no executable line changed, so every number this document measured through it still holds.
design/MEASURE-ratchet-plain-run-writes-2026-09-12.md	ops/audit_corpus_provenance.py	63db3d3427a6dfa9789e8324ef9bda02817825fb	734e6aef7fdf94684c3583bd5371d30f6021f11f	2026-09-26	reread	G1 (faster pushes) added only a # gate-inputs: declaration comment and one explanatory comment line to this harness; no executable line changed, so every number this document measured through it still holds.
design/MEASURE-sams-cents-unit-price-2026-09-20.md	grocery/probe-sams-unit-price-shapes.ps1	863c5e824a904c8f2c80a4db05805c755ba72bbf	7819e3e5849478d1532f97876c6eaae9786e695d	2026-09-26	reread	G1 (faster pushes) added only a # gate-inputs: declaration comment and one explanatory comment line to this harness; no executable line changed, so every number this document measured through it still holds.
design/MEASURE-sams-cents-unit-price-2026-09-20.md	grocery/build-sams-deals.ps1	9d7911adf77594e4256bbde3620d98b28d867be9	df183b757af76e2011c5473eb985c3096fca9e73	2026-09-26	reread	G1 (faster pushes) added only a # gate-inputs: declaration comment and one explanatory comment line to this harness; no executable line changed, so every number this document measured through it still holds.
design/MEASURE-sams-cents-unit-price-2026-09-20.md	grocery/test-pull-agent-lib.ps1	c6a72febc92612044fa4cf3159825910982d7967	d80e5c63c7379feaf567e3a48635f3f1a5a0b882	2026-09-26	reread	G1 (faster pushes) added only a # gate-inputs: declaration comment and one explanatory comment line to this harness; no executable line changed, so every number this document measured through it still holds.
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	af27ec4a371d7cfeb3b8d5e4cf6159efaf814823	5a1e94f5e5bfcfda0479d3a819379c363cbec3a7	2026-09-26	reread	Only the wording of the Python-suite summary line changed, plus a counter feeding it; no slot, queue or admission code moved, so the queue-window numbers still hold.
design/MEASURE-gate-cost-2026-09-09.md	ops/run-gates.ps1	af27ec4a371d7cfeb3b8d5e4cf6159efaf814823	5a1e94f5e5bfcfda0479d3a819379c363cbec3a7	2026-09-26	reread	Only the wording of run-gates' Python-suite summary line changed, plus the counter that feeds it; no gate is dispatched, keyed or timed differently, so the gate-cost figures still hold.
design/MEASURE-gate-cost-2026-09-09.md	ops/run-gates.ps1	bba669f98971ae36f5dbeb1cfe4dc253d65e56bd	af27ec4a371d7cfeb3b8d5e4cf6159efaf814823	2026-09-26	reread	Still holds. The board-clock change (design/PLAN-board-clock-2026-09-26.md W6) only lists one more static detector, ops\audit-board-clock.ps1 (about 12 s, hermetic, AST, reads source only), and restores one neighbouring entry's column alignment; no slot, queue, reuse, timing or verdict logic changed. Not re-measured.
design/MEASURE-gate-queue-window-2026-09-11.md	ops/run-gates.ps1	bba669f98971ae36f5dbeb1cfe4dc253d65e56bd	af27ec4a371d7cfeb3b8d5e4cf6159efaf814823	2026-09-26	reread	Still holds. The board-clock change (design/PLAN-board-clock-2026-09-26.md W6) only lists one more static detector, ops\audit-board-clock.ps1 (about 12 s, hermetic, AST, reads source only), and restores one neighbouring entry's column alignment; no slot, queue, reuse, timing or verdict logic changed. Not re-measured.
